,calinski_harabasz_Nclusters,silhouette_Nclusters,davies_bouldin_Nclusters,calinski_harabasz_score,silhouette_score,davies_bouldin_score,calinski_harabasz_damping,silhouette_damping,davies_bouldin_damping,calinski_harabasz_preference,silhouette_preference,davies_bouldin_preference
2008-12-31,2,2,21,196.17319624667553,0.6636144933573503,0.6260803238754189,0.5,0.99,0.99,-7.0,-0.8,-0.1
2009-01-31,2,2,39,208.85625068650725,0.4241393312995853,0.7805030088369503,0.5,0.7,0.99,-20.0,-9.0,-0.05
2009-02-28,2,2,2,170.67961860336226,0.6853585838521032,0.2231992841811258,0.7,0.99,0.99,-15.0,-0.8,-0.8
2009-03-31,2,2,39,149.7912080051775,0.4582750400055568,0.7291093532769232,0.5,0.6,0.99,-7.0,-8.0,-0.05
2009-04-30,2,2,2,164.12537213646073,0.7370743732512001,0.18294865161944104,0.5,0.99,0.99,-6.0,-0.8,-0.8
2009-05-31,2,3,93,173.10607419501073,0.47200735366158225,0.8319590050641363,0.6,0.99,0.6,-9.0,-0.8,-0.05
2009-06-30,2,2,105,140.79150882720944,0.4231506083771151,0.7931647689474265,0.7,0.99,0.6,-15.0,-0.6000000000000001,-0.05
2009-07-31,2,3,15,129.66015869767145,0.644632034185999,0.7786240678158761,0.5,0.99,0.99,-8.0,-0.6000000000000001,-0.1
2009-08-31,2,3,90,122.59138166346982,0.5291743715778567,0.8073266132380177,0.5,0.99,0.9,-5.0,-0.6000000000000001,-0.05
2009-09-30,2,2,11,137.2225776643569,0.3946402676512593,0.7339155203621658,0.7,0.5,0.99,-6.0,-10.0,-0.19999999999999996
2009-10-31,2,2,17,165.47322927415755,0.45228023089063163,0.8015654466655492,0.5,0.5,0.99,-8.0,-9.0,-0.1
2009-11-30,2,2,95,214.31744757662227,0.4882272661916743,0.8258047266939079,0.8,0.6,0.5,-8.0,-6.0,-0.05
2009-12-31,2,2,38,137.48674639675025,0.46482476073030815,0.7143722273959359,0.8,0.5,0.99,-9.0,-9.0,-0.05
2010-01-31,2,3,83,152.20131242929745,0.5204126011747406,0.7611219716575163,0.7,0.99,0.9,-7.0,-0.4,-0.05
2010-02-28,2,4,19,139.61904388418048,0.5188796662483777,0.725989270579219,0.9,0.99,0.99,-7.0,-0.4,-0.1
2010-03-31,2,2,99,165.79364002945044,0.43579281285125926,0.8403359648161077,0.9,0.9,0.9,-7.0,-5.0,-0.05
2010-04-30,2,2,108,139.4522884408026,0.3702634736610687,0.780588853166107,0.7,0.9,0.5,-8.0,-5.0,-0.05
2010-05-31,2,2,110,98.33723028493068,0.3627459606749291,0.8395103726765341,0.5,0.7,0.5,-9.0,-7.0,-0.05
2010-06-30,2,2,110,139.58558227738834,0.3000760733003121,0.8256696429274771,0.6,0.5,0.9,-15.0,-6.0,-0.05
2010-07-31,3,2,120,82.63559949625292,0.3005653891793321,0.7730513691365524,0.8,0.7,0.8,-5.0,-5.0,-0.05
2010-08-31,2,2,119,136.0769183785291,0.2921980067039767,0.8133193955220953,0.5,0.7,0.9,-8.0,-5.0,-0.05
2010-09-30,2,2,108,136.81224576451964,0.2995273723536823,0.8677985128574366,0.5,0.99,0.7,-9.0,-0.6000000000000001,-0.05
2010-10-31,3,3,3,115.22123222030037,0.695098218972408,0.20149054702471494,0.7,0.99,0.99,-4.0,-0.6000000000000001,-0.6000000000000001
2010-11-30,2,2,111,140.15961817727836,0.6093893598407214,0.8409389873099155,0.8,0.99,0.9,-10.0,-1.0,-0.05
2010-12-31,2,5,27,158.38183244421313,0.5168810464933233,0.8397815115044558,0.8,0.99,0.99,-6.0,-0.4,-0.05
2011-01-31,2,3,26,175.24740930465342,0.6066608792711637,0.7275600834833219,0.6,0.99,0.99,-6.0,-1.0,-0.05
2011-02-28,2,3,92,162.9447066798119,0.38467993215003604,0.9300188127727241,0.6,0.99,0.7,-4.0,-0.8,-0.05
2011-03-31,2,2,133,116.23227411279379,0.46384853446217705,0.7618481347440327,0.5,0.99,0.5,-9.0,-1.0,-0.05
2011-04-30,2,6,120,108.18202794122627,0.4059555311092039,0.8193961341841794,0.5,0.99,0.9,-7.0,-0.4,-0.05
2011-05-31,2,4,126,124.00023248602552,0.3587223118931978,0.789145528122538,0.5,0.99,0.9,-8.0,-0.6000000000000001,-0.05
2011-06-30,2,3,19,107.98604113671135,0.4227750863144773,0.7639659218645637,0.5,0.99,0.99,-15.0,-1.0,-0.1
2011-07-31,2,3,124,125.88770713355424,0.38786150689315874,0.8233994463896583,0.6,0.99,0.6,-15.0,-1.0,-0.05
2011-08-31,2,3,9,146.5733510317828,0.40146261615746387,0.7569502460863107,0.5,0.99,0.99,-15.0,-1.0,-0.19999999999999996
2011-09-30,2,3,100,197.85225605370806,0.3201892980111444,0.8261416112369065,0.5,0.99,0.6,-7.0,-0.6000000000000001,-0.05
2011-10-31,2,2,108,161.4849836339383,0.30526163703232523,0.8528180821266602,0.6,0.99,0.9,-8.0,-0.6000000000000001,-0.05
2011-11-30,2,2,109,147.7592198945164,0.31993184162487404,0.7970011940425188,0.9,0.5,0.6,-9.0,-6.0,-0.05
2011-12-31,2,2,19,164.48900050763385,0.522430341831482,0.7649157555218886,0.6,0.99,0.99,-20.0,-0.8,-0.1
